ID,M�rka,T�pus,�zemanyag,Teljes�tm�ny_LE,V�tel�r_EUR,Gy�rt�si_�v,�tlagos_CO2_g_km
1,Toyota,Corolla,Benzin,132,18500,2016,128
2,Toyota,Corolla,Benzin,132,19200,2017,127
3,Toyota,Corolla,Benzin,132,19900,2018,126
4,Toyota,Corolla,Benzin,140,21500,2019,124
5,Toyota,Corolla,Benzin,140,22300,2020,122
6,Toyota,Corolla,Benzin,140,23100,2021,120
7,Toyota,Corolla,Benzin,140,23900,2022,118
8,Toyota,Corolla,Benzin,140,24700,2023,117
9,Toyota,Corolla,Benzin,140,25500,2024,115
10,Toyota,Corolla,Benzin,140,26300,2025,113
11,Toyota,Yaris,Benzin,110,15500,2016,119
12,Toyota,Yaris,Benzin,110,16100,2017,118
13,Toyota,Yaris,Benzin,111,16700,2018,116
14,Toyota,Yaris,Benzin,111,17800,2019,114
15,Toyota,Yaris,Benzin,111,18500,2020,112
16,Toyota,Yaris,Benzin,116,19200,2021,110
17,Toyota,Yaris,Benzin,116,19900,2022,108
18,Toyota,Yaris,Benzin,116,20700,2023,106
19,Toyota,Yaris,Benzin,116,21500,2024,104
20,Toyota,Yaris,Benzin,116,22300,2025,102
21,Toyota,RAV4,Hybrid,218,29500,2016,118
22,Toyota,RAV4,Hybrid,218,30700,2017,116
23,Toyota,RAV4,Hybrid,222,31900,2018,114
24,Toyota,RAV4,Hybrid,222,33500,2019,112
25,Toyota,RAV4,Hybrid,222,34700,2020,110
26,Toyota,RAV4,Hybrid,222,35900,2021,108
27,Toyota,RAV4,Hybrid,222,37100,2022,106
28,Toyota,RAV4,Hybrid,222,38300,2023,104
29,Toyota,RAV4,Hybrid,222,39500,2024,102
30,Toyota,RAV4,Hybrid,222,40700,2025,100
31,Volkswagen,Golf,Benzin,125,19000,2016,130
32,Volkswagen,Golf,Benzin,125,19700,2017,129
33,Volkswagen,Golf,Benzin,130,20400,2018,127
34,Volkswagen,Golf,Benzin,130,21900,2019,125
35,Volkswagen,Golf,Benzin,130,22700,2020,123
36,Volkswagen,Golf,Benzin,150,23500,2021,121
37,Volkswagen,Golf,Benzin,150,24300,2022,119
38,Volkswagen,Golf,Benzin,150,25100,2023,117
39,Volkswagen,Golf,Benzin,150,25900,2024,115
40,Volkswagen,Golf,Benzin,150,26700,2025,113
41,Volkswagen,Passat,Diesel,150,24500,2016,128
42,Volkswagen,Passat,Diesel,150,25300,2017,127
43,Volkswagen,Passat,Diesel,150,26100,2018,125
44,Volkswagen,Passat,Diesel,150,27800,2019,123
45,Volkswagen,Passat,Diesel,150,28700,2020,121
46,Volkswagen,Passat,Diesel,150,29600,2021,119
47,Volkswagen,Passat,Diesel,150,30500,2022,117
48,Volkswagen,Passat,Diesel,150,31400,2023,115
49,Volkswagen,Passat,Diesel,150,32300,2024,113
50,Volkswagen,Passat,Diesel,150,33200,2025,111
51,Volkswagen,Tiguan,Benzin,150,26500,2016,145
52,Volkswagen,Tiguan,Benzin,150,27400,2017,144
53,Volkswagen,Tiguan,Benzin,150,28300,2018,142
54,Volkswagen,Tiguan,Benzin,150,29800,2019,140
55,Volkswagen,Tiguan,Benzin,150,30800,2020,138
56,Volkswagen,Tiguan,Benzin,150,31800,2021,136
57,Volkswagen,Tiguan,Benzin,150,32800,2022,134
58,Volkswagen,Tiguan,Benzin,150,33800,2023,132
59,Volkswagen,Tiguan,Benzin,150,34800,2024,130
60,Volkswagen,Tiguan,Benzin,150,35800,2025,128
61,BMW,320i,Benzin,184,32500,2016,149
62,BMW,320i,Benzin,184,33700,2017,147
63,BMW,320i,Benzin,184,34900,2018,145
64,BMW,320i,Benzin,184,36500,2019,143
65,BMW,320i,Benzin,184,37700,2020,141
66,BMW,320i,Benzin,184,38900,2021,139
67,BMW,320i,Benzin,184,40100,2022,137
68,BMW,320i,Benzin,184,41300,2023,135
69,BMW,320i,Benzin,184,42500,2024,133
70,BMW,320i,Benzin,184,43700,2025,131
71,BMW,520d,Diesel,190,39500,2016,132
72,BMW,520d,Diesel,190,40800,2017,130
73,BMW,520d,Diesel,190,42100,2018,128
74,BMW,520d,Diesel,190,43900,2019,126
75,BMW,520d,Diesel,190,45200,2020,124
76,BMW,520d,Diesel,190,46500,2021,122
77,BMW,520d,Diesel,190,47800,2022,120
78,BMW,520d,Diesel,190,49100,2023,118
79,BMW,520d,Diesel,190,50400,2024,116
80,BMW,520d,Diesel,190,51700,2025,114
81,BMW,X3,Diesel,190,42000,2016,154
82,BMW,X3,Diesel,190,43300,2017,153
83,BMW,X3,Diesel,190,44600,2018,151
84,BMW,X3,Diesel,190,46500,2019,149
85,BMW,X3,Diesel,190,47800,2020,147
86,BMW,X3,Diesel,190,49100,2021,145
87,BMW,X3,Diesel,190,50400,2022,143
88,BMW,X3,Diesel,190,51700,2023,141
89,BMW,X3,Diesel,190,53000,2024,139
90,BMW,X3,Diesel,190,54300,2025,137
91,Mercedes-Benz,C200,Benzin,184,33500,2016,148
92,Mercedes-Benz,C200,Benzin,184,34800,2017,146
93,Mercedes-Benz,C200,Benzin,184,36100,2018,144
94,Mercedes-Benz,C200,Benzin,184,37900,2019,142
95,Mercedes-Benz,C200,Benzin,184,39200,2020,140
96,Mercedes-Benz,C200,Benzin,204,40500,2021,138
97,Mercedes-Benz,C200,Benzin,204,41800,2022,136
98,Mercedes-Benz,C200,Benzin,204,43100,2023,134
99,Mercedes-Benz,C200,Benzin,204,44400,2024,132
100,Mercedes-Benz,C200,Benzin,204,45700,2025,130
101,Mercedes-Benz,E220d,Diesel,194,42500,2016,139
102,Mercedes-Benz,E220d,Diesel,194,43900,2017,137
103,Mercedes-Benz,E220d,Diesel,194,45300,2018,135
104,Mercedes-Benz,E220d,Diesel,194,47200,2019,133
105,Mercedes-Benz,E220d,Diesel,194,48600,2020,131
106,Mercedes-Benz,E220d,Diesel,194,50000,2021,129
107,Mercedes-Benz,E220d,Diesel,194,51400,2022,127
108,Mercedes-Benz,E220d,Diesel,194,52800,2023,125
109,Mercedes-Benz,E220d,Diesel,194,54200,2024,123
110,Mercedes-Benz,E220d,Diesel,194,55600,2025,121
111,Mercedes-Benz,GLC,Benzin,197,45500,2016,169
112,Mercedes-Benz,GLC,Benzin,197,46900,2017,167
113,Mercedes-Benz,GLC,Benzin,197,48300,2018,165
114,Mercedes-Benz,GLC,Benzin,197,50300,2019,163
115,Mercedes-Benz,GLC,Benzin,197,51700,2020,161
116,Mercedes-Benz,GLC,Benzin,197,53100,2021,159
117,Mercedes-Benz,GLC,Benzin,197,54500,2022,157
118,Mercedes-Benz,GLC,Benzin,197,55900,2023,155
119,Mercedes-Benz,GLC,Benzin,197,57300,2024,153
120,Mercedes-Benz,GLC,Benzin,197,58700,2025,151
121,Audi,A3,Benzin,150,21500,2016,126
122,Audi,A3,Benzin,150,22300,2017,124
123,Audi,A3,Benzin,150,23100,2018,122
124,Audi,A3,Benzin,150,24600,2019,120
125,Audi,A3,Benzin,150,25400,2020,118
126,Audi,A3,Benzin,150,26200,2021,116
127,Audi,A3,Benzin,150,27000,2022,114
128,Audi,A3,Benzin,150,27800,2023,112
129,Audi,A3,Benzin,150,28600,2024,110
130,Audi,A3,Benzin,150,29400,2025,108
131,Audi,A4,Diesel,150,29000,2016,129
132,Audi,A4,Diesel,150,30000,2017,127
133,Audi,A4,Diesel,150,31000,2018,125
134,Audi,A4,Diesel,150,32700,2019,123
135,Audi,A4,Diesel,150,33700,2020,121
136,Audi,A4,Diesel,150,34700,2021,119
137,Audi,A4,Diesel,150,35700,2022,117
138,Audi,A4,Diesel,150,36700,2023,115
139,Audi,A4,Diesel,150,37700,2024,113
140,Audi,A4,Diesel,150,38700,2025,111
141,Audi,Q5,Diesel,190,38500,2016,153
142,Audi,Q5,Diesel,190,39700,2017,151
143,Audi,Q5,Diesel,190,40900,2018,149
144,Audi,Q5,Diesel,190,42700,2019,147
145,Audi,Q5,Diesel,190,43900,2020,145
146,Audi,Q5,Diesel,190,45100,2021,143
147,Audi,Q5,Diesel,190,46300,2022,141
148,Audi,Q5,Diesel,190,47500,2023,139
149,Audi,Q5,Diesel,190,48700,2024,137
150,Audi,Q5,Diesel,190,49900,2025,135
151,Ford,Focus,Benzin,125,17000,2016,124
152,Ford,Focus,Benzin,125,17600,2017,122
153,Ford,Focus,Benzin,125,18200,2018,120
154,Ford,Focus,Benzin,125,19600,2019,118
155,Ford,Focus,Benzin,125,20300,2020,116
156,Ford,Focus,Benzin,125,21000,2021,114
157,Ford,Focus,Benzin,125,21700,2022,112
158,Ford,Focus,Benzin,125,22400,2023,110
159,Ford,Focus,Benzin,125,23100,2024,108
160,Ford,Focus,Benzin,125,23800,2025,106
161,Ford,Mondeo,Diesel,150,22500,2016,132
162,Ford,Mondeo,Diesel,150,23300,2017,130
163,Ford,Mondeo,Diesel,150,24100,2018,128
164,Ford,Mondeo,Diesel,150,25700,2019,126
165,Ford,Mondeo,Diesel,150,26500,2020,124
166,Ford,Mondeo,Diesel,150,27300,2021,122
167,Ford,Mondeo,Diesel,150,28100,2022,120
168,Ford,Mondeo,Diesel,150,28900,2023,118
169,Ford,Mondeo,Diesel,150,29700,2024,116
170,Ford,Mondeo,Diesel,150,30500,2025,114
171,Ford,Kuga,Hybrid,190,26500,2016,121
172,Ford,Kuga,Hybrid,190,27500,2017,119
173,Ford,Kuga,Hybrid,190,28500,2018,117
174,Ford,Kuga,Hybrid,190,30200,2019,115
175,Ford,Kuga,Hybrid,190,31200,2020,113
176,Ford,Kuga,Hybrid,190,32200,2021,111
177,Ford,Kuga,Hybrid,190,33200,2022,109
178,Ford,Kuga,Hybrid,190,34200,2023,107
179,Ford,Kuga,Hybrid,190,35200,2024,105
180,Ford,Kuga,Hybrid,190,36200,2025,103
181,Škoda,Octavia,Benzin,150,18500,2016,127
182,Škoda,Octavia,Benzin,150,19200,2017,125
183,Škoda,Octavia,Benzin,150,19900,2018,123
184,Škoda,Octavia,Benzin,150,21400,2019,121
185,Škoda,Octavia,Benzin,150,22100,2020,119
186,Škoda,Octavia,Benzin,150,22800,2021,117
187,Škoda,Octavia,Benzin,150,23500,2022,115
188,Škoda,Octavia,Benzin,150,24200,2023,113
189,Škoda,Octavia,Benzin,150,24900,2024,111
190,Škoda,Octavia,Benzin,150,25600,2025,109
191,Škoda,Superb,Diesel,190,27500,2016,134
192,Škoda,Superb,Diesel,190,28400,2017,132
193,Škoda,Superb,Diesel,190,29300,2018,130
194,Škoda,Superb,Diesel,190,31000,2019,128
195,Škoda,Superb,Diesel,190,31900,2020,126
196,Škoda,Superb,Diesel,190,32800,2021,124
197,Škoda,Superb,Diesel,190,33700,2022,122
198,Škoda,Superb,Diesel,190,34600,2023,120
199,Škoda,Superb,Diesel,190,35500,2024,118
200,Škoda,Superb,Diesel,190,36400,2025,116
201,Škoda,Kodiaq,Diesel,150,31500,2016,151
202,Škoda,Kodiaq,Diesel,150,32500,2017,149
203,Škoda,Kodiaq,Diesel,150,33500,2018,147
204,Škoda,Kodiaq,Diesel,150,35200,2019,145
205,Škoda,Kodiaq,Diesel,150,36200,2020,143
206,Škoda,Kodiaq,Diesel,150,37200,2021,141
207,Škoda,Kodiaq,Diesel,150,38200,2022,139
208,Škoda,Kodiaq,Diesel,150,39200,2023,137
209,Škoda,Kodiaq,Diesel,150,40200,2024,135
210,Škoda,Kodiaq,Diesel,150,41200,2025,133
211,Renault,Clio,Benzin,100,14500,2016,121
212,Renault,Clio,Benzin,100,15100,2017,119
213,Renault,Clio,Benzin,100,15700,2018,117
214,Renault,Clio,Benzin,100,17000,2019,115
215,Renault,Clio,Benzin,100,17600,2020,113
216,Renault,Clio,Benzin,100,18200,2021,111
217,Renault,Clio,Benzin,100,18800,2022,109
218,Renault,Clio,Benzin,100,19400,2023,107
219,Renault,Clio,Benzin,100,20000,2024,105
220,Renault,Clio,Benzin,100,20600,2025,103
221,Renault,Megane,Benzin,140,19000,2016,129
222,Renault,Megane,Benzin,140,19800,2017,127
223,Renault,Megane,Benzin,140,20600,2018,125
224,Renault,Megane,Benzin,140,22100,2019,123
225,Renault,Megane,Benzin,140,22900,2020,121
226,Renault,Megane,Benzin,140,23700,2021,119
227,Renault,Megane,Benzin,140,24500,2022,117
228,Renault,Megane,Benzin,140,25300,2023,115
229,Renault,Megane,Benzin,140,26100,2024,113
230,Renault,Megane,Benzin,140,26900,2025,111
231,Renault,Captur,Hybrid,145,22000,2016,124
232,Renault,Captur,Hybrid,145,22800,2017,122
233,Renault,Captur,Hybrid,145,23600,2018,120
234,Renault,Captur,Hybrid,145,25200,2019,118
235,Renault,Captur,Hybrid,145,26000,2020,116
236,Renault,Captur,Hybrid,145,26800,2021,114
237,Renault,Captur,Hybrid,145,27600,2022,112
238,Renault,Captur,Hybrid,145,28400,2023,110
239,Renault,Captur,Hybrid,145,29200,2024,108
240,Renault,Captur,Hybrid,145,30000,2025,106
241,Peugeot,208,Benzin,100,15000,2016,120
242,Peugeot,208,Benzin,100,15600,2017,118
243,Peugeot,208,Benzin,100,16200,2018,116
244,Peugeot,208,Benzin,100,17500,2019,114
245,Peugeot,208,Benzin,100,18100,2020,112
246,Peugeot,208,Benzin,100,18700,2021,110
247,Peugeot,208,Benzin,100,19300,2022,108
248,Peugeot,208,Benzin,100,19900,2023,106
249,Peugeot,208,Benzin,100,20500,2024,104
250,Peugeot,208,Benzin,100,21100,2025,102
251,Peugeot,308,Benzin,130,18500,2016,128
252,Peugeot,308,Benzin,130,19300,2017,126
253,Peugeot,308,Benzin,130,20100,2018,124
254,Peugeot,308,Benzin,130,21600,2019,122
255,Peugeot,308,Benzin,130,22400,2020,120
256,Peugeot,308,Benzin,130,23200,2021,118
257,Peugeot,308,Benzin,130,24000,2022,116
258,Peugeot,308,Benzin,130,24800,2023,114
259,Peugeot,308,Benzin,130,25600,2024,112
260,Peugeot,308,Benzin,130,26400,2025,110
261,Peugeot,3008,Diesel,130,25500,2016,141
262,Peugeot,3008,Diesel,130,26500,2017,139
263,Peugeot,3008,Diesel,130,27500,2018,137
264,Peugeot,3008,Diesel,130,29200,2019,135
265,Peugeot,3008,Diesel,130,30200,2020,133
266,Peugeot,3008,Diesel,130,31200,2021,131
267,Peugeot,3008,Diesel,130,32200,2022,129
268,Peugeot,3008,Diesel,130,33200,2023,127
269,Peugeot,3008,Diesel,130,34200,2024,125
270,Peugeot,3008,Diesel,130,35200,2025,123
271,Opel,Corsa,Benzin,100,14000,2016,122
272,Opel,Corsa,Benzin,100,14600,2017,120
273,Opel,Corsa,Benzin,100,15200,2018,118
274,Opel,Corsa,Benzin,100,16500,2019,116
275,Opel,Corsa,Benzin,100,17100,2020,114
276,Opel,Corsa,Benzin,100,17700,2021,112
277,Opel,Corsa,Benzin,100,18300,2022,110
278,Opel,Corsa,Benzin,100,18900,2023,108
279,Opel,Corsa,Benzin,100,19500,2024,106
280,Opel,Corsa,Benzin,100,20100,2025,104
281,Opel,Astra,Benzin,130,18000,2016,130
282,Opel,Astra,Benzin,130,18800,2017,128
283,Opel,Astra,Benzin,130,19600,2018,126
284,Opel,Astra,Benzin,130,21100,2019,124
285,Opel,Astra,Benzin,130,21900,2020,122
286,Opel,Astra,Benzin,130,22700,2021,120
287,Opel,Astra,Benzin,130,23500,2022,118
288,Opel,Astra,Benzin,130,24300,2023,116
289,Opel,Astra,Benzin,130,25100,2024,114
290,Opel,Astra,Benzin,130,25900,2025,112
291,Opel,Grandland,Diesel,130,24500,2016,145
292,Opel,Grandland,Diesel,130,25500,2017,143
293,Opel,Grandland,Diesel,130,26500,2018,141
294,Opel,Grandland,Diesel,130,28200,2019,139
295,Opel,Grandland,Diesel,130,29200,2020,137
296,Opel,Grandland,Diesel,130,30200,2021,135
297,Opel,Grandland,Diesel,130,31200,2022,133
298,Opel,Grandland,Diesel,130,32200,2023,131
299,Opel,Grandland,Diesel,130,33200,2024,129
300,Opel,Grandland,Diesel,130,34200,2025,127
301,Hyundai,i30,Benzin,120,16500,2016,125
302,Hyundai,i30,Benzin,120,17200,2017,123
303,Hyundai,i30,Benzin,120,17900,2018,121
304,Hyundai,i30,Benzin,120,19300,2019,119
305,Hyundai,i30,Benzin,120,20000,2020,117
306,Hyundai,i30,Benzin,120,20700,2021,115
307,Hyundai,i30,Benzin,120,21400,2022,113
308,Hyundai,i30,Benzin,120,22100,2023,111
309,Hyundai,i30,Benzin,120,22800,2024,109
310,Hyundai,i30,Benzin,120,23500,2025,107
311,Hyundai,Tucson,Hybrid,230,26000,2016,139
312,Hyundai,Tucson,Hybrid,230,27000,2017,137
313,Hyundai,Tucson,Hybrid,230,28000,2018,135
314,Hyundai,Tucson,Hybrid,230,29700,2019,133
315,Hyundai,Tucson,Hybrid,230,30700,2020,131
316,Hyundai,Tucson,Hybrid,230,31700,2021,129
317,Hyundai,Tucson,Hybrid,230,32700,2022,127
318,Hyundai,Tucson,Hybrid,230,33700,2023,125
319,Hyundai,Tucson,Hybrid,230,34700,2024,123
320,Hyundai,Tucson,Hybrid,230,35700,2025,121
321,Hyundai,Kona,Benzin,120,19500,2016,130
322,Hyundai,Kona,Benzin,120,20200,2017,128
323,Hyundai,Kona,Benzin,120,20900,2018,126
324,Hyundai,Kona,Benzin,120,22400,2019,124
325,Hyundai,Kona,Benzin,120,23100,2020,122
326,Hyundai,Kona,Benzin,120,23800,2021,120
327,Hyundai,Kona,Benzin,120,24500,2022,118
328,Hyundai,Kona,Benzin,120,25200,2023,116
329,Hyundai,Kona,Benzin,120,25900,2024,114
330,Hyundai,Kona,Benzin,120,26600,2025,112
331,Kia,Ceed,Benzin,120,16000,2016,126
332,Kia,Ceed,Benzin,120,16700,2017,124
333,Kia,Ceed,Benzin,120,17400,2018,122
334,Kia,Ceed,Benzin,120,18800,2019,120
335,Kia,Ceed,Benzin,120,19500,2020,118
336,Kia,Ceed,Benzin,120,20200,2021,116
337,Kia,Ceed,Benzin,120,20900,2022,114
338,Kia,Ceed,Benzin,120,21600,2023,112
339,Kia,Ceed,Benzin,120,22300,2024,110
340,Kia,Ceed,Benzin,120,23000,2025,108
341,Kia,Sportage,Hybrid,230,27000,2016,142
342,Kia,Sportage,Hybrid,230,28000,2017,140
343,Kia,Sportage,Hybrid,230,29000,2018,138
344,Kia,Sportage,Hybrid,230,30700,2019,136
345,Kia,Sportage,Hybrid,230,31700,2020,134
346,Kia,Sportage,Hybrid,230,32700,2021,132
347,Kia,Sportage,Hybrid,230,33700,2022,130
348,Kia,Sportage,Hybrid,230,34700,2023,128
349,Kia,Sportage,Hybrid,230,35700,2024,126
350,Kia,Sportage,Hybrid,230,36700,2025,124
351,Volvo,S60,Benzin,197,31500,2016,151
352,Volvo,S60,Benzin,197,32700,2017,149
353,Volvo,S60,Benzin,197,33900,2018,147
354,Volvo,S60,Benzin,197,35500,2019,145
355,Volvo,S60,Benzin,197,36700,2020,143
356,Volvo,S60,Benzin,197,37900,2021,141
357,Volvo,S60,Benzin,197,39100,2022,139
358,Volvo,S60,Benzin,197,40300,2023,137
359,Volvo,S60,Benzin,197,41500,2024,135
360,Volvo,S60,Benzin,197,42700,2025,133
361,Volvo,XC60,Diesel,190,38500,2016,158
362,Volvo,XC60,Diesel,190,39800,2017,156
363,Volvo,XC60,Diesel,190,41100,2018,154
364,Volvo,XC60,Diesel,190,43000,2019,152
365,Volvo,XC60,Diesel,190,44300,2020,150
366,Volvo,XC60,Diesel,190,45600,2021,148
367,Volvo,XC60,Diesel,190,46900,2022,146
368,Volvo,XC60,Diesel,190,48200,2023,144
